,comparison,rounded,ratio
0,pedoeindex-langindex,27,26.582278481012658
1,pedoeindex-birkhoffindex,27,26.624405705229794
2,pedoeindex-strangindex,22,22.257551669316374
3,pedoeindex-Burris.UniversalAlgebra.Index,23,23.28767123287671
4,pedoeindex-Artin.GeometricAlgebra.Index,41,40.625
5,geometrywords-langindex,33,33.164556962025316
6,geometrywords-birkhoffindex,32,32.329635499207605
7,geometrywords-strangindex,30,29.72972972972973
8,geometrywords-Burris.UniversalAlgebra.Index,28,28.21917808219178
9,geometrywords-Artin.GeometricAlgebra.Index,47,46.875
10,cleangeometrywords-langindex,10,10.126582278481013
11,cleangeometrywords-birkhoffindex,12,11.568938193343898
12,cleangeometrywords-strangindex,12,12.400635930047695
13,cleangeometrywords-Burris.UniversalAlgebra.Index,9,9.315068493150685
14,cleangeometrywords-Artin.GeometricAlgebra.Index,28,28.125
15,disjunctiongeometrywords-langindex,10,10.379746835443038
16,disjunctiongeometrywords-birkhoffindex,12,11.568938193343898
17,disjunctiongeometrywords-strangindex,12,12.400635930047695
18,disjunctiongeometrywords-Burris.UniversalAlgebra.Index,9,9.315068493150685
19,disjunctiongeometrywords-Artin.GeometricAlgebra.Index,28,28.125
20,hatcherindex-langindex,23,22.531645569620252
21,hatcherindex-birkhoffindex,16,15.847860538827259
22,hatcherindex-strangindex,13,12.718600953895072
23,hatcherindex-Burris.UniversalAlgebra.Index,22,22.465753424657535
24,hatcherindex-Artin.GeometricAlgebra.Index,28,28.125
25,munkresindex-langindex,39,39.24050632911393
26,munkresindex-birkhoffindex,26,25.990491283676704
27,munkresindex-strangindex,23,23.211446740858506
28,munkresindex-Burris.UniversalAlgebra.Index,40,39.726027397260275
29,munkresindex-Artin.GeometricAlgebra.Index,35,35.416666666666664
30,cederbergIndex-langindex,21,20.759493670886076
31,cederbergIndex-birkhoffindex,21,20.91917591125198
32,cederbergIndex-strangindex,22,21.62162162162162
33,cederbergIndex-Burris.UniversalAlgebra.Index,23,22.73972602739726
34,cederbergIndex-Artin.GeometricAlgebra.Index,39,38.541666666666664
35,berger.geometry1.index-langindex,42,41.77215189873418
36,berger.geometry1.index-birkhoffindex,36,35.8161648177496
37,berger.geometry1.index-strangindex,34,34.02225755166932
38,berger.geometry1.index-Burris.UniversalAlgebra.Index,35,35.06849315068493
39,berger.geometry1.index-Artin.GeometricAlgebra.Index,62,62.5
40,mccleary.geometryFromADifferentiablePointOfView.index-langindex,17,17.21518987341772
